smiles,density,eat,eea,egb,egc,ei,eps,mt,nc,tg
*C*,,,,,6.8972,,,131.0,,-54.0
*CC(*)C,,,0.4343,7.6997,6.5196,6.185,2.61,164.0,1.6081,-3.0
*CC(*)CC,,,,7.9012,6.517,,,115.5,,-24.1
*CC(*)CCC,,,,7.2705,6.7336,,,80.0,,-37.0
*CC(*)C(C)C,,,,,,,,306.0,,60.0
*CC(*)CCCC,,,,,,,,30.0,,-50.0
*CC(*)CC(C)C,,,,,6.7394,,,232.0,,35.2
*CC(*)CCCCC,,,,,,,,19.0,,-45.5
*CC(*)CCC(C)C,,,,,,,,130.0,,0.855
*CC(*)CCC(C)CC,,,,,,,,61.0,,0.9
*CC(*)CCCCCCC,,,,,,,,20.5,,-47.0
*CC(*)CCCCCCCC,,,,,,,,34.0,,-35.0
*CC(*)(C)C,,,,,,,,5.0,,-72.0
*CCC(*)(C)C,,,,,,,,68.0,,-12.0
*CC(*)C1CC1,,,,,,,,,,0.9805
*CC(*)C1CCCC1,,,,,,,,,,75.0
*CC(*)CC1CCCC1,,,,,,,,,,60.0
*CC(*)C1CCCCC1,,,,,,,,,,119.7
*CC(*)CC1CCCCC1,,,,,,,,,,75.0
*CC(*)Cc1ccccc1,,,,,,,,,,70.0
*CC(*)CCc1ccccc1,,,,,,,,,,10.0
*CC1CCC(*)C1,,,,7.9703,6.9613,,,,,138.5
*CC(*)CCCCCC,,,,,,,,,,-54.0
*CC(*)CCCCCCCCCCCCCCCC,,,,,,,,,,55.0
*CC(*)C(C)CC,,,,,,,,,,362.0
*CC(*)C(CC)CC,,,,,,,,,,399.5
*CC(*)CC(CC)CC,,,,,,,,,,240.0
*CC(*)CC(C)CC,,,,,,,,,,199.0
*CC(*)CC(C)(C)C,,,,,,,,,,190.0
*/C=C/CCC*,,,,,,,,,,-105.0
*/C=C/CC*,,,,,,,,,,-91.0
*C(*)C,,,,,,,,,,147.5
*/C=C/*,,,,,,,,,,-4.0
*CCC(C)C(*)C,,,,,,,,,,-26.0
*CCC1CCCC1*,,,,,,,,,,185.0
*/C=C/CCCCCCCCCC*,,,,,,,,,,-53.0
*/C=C/CCCCCC*,,,,,,,,,,-78.0
*CC(*)CCCCCCCCCCC,,,,,,,,,,52.5
*CC(*)CCCCCCCCC,,,,,,,,,,38.0
*CC(*)C1CCCC(C)C1,,,,,,,,,,141.0
*CC(*)C1CCC(C)CC1,,,,,,,,,,132.0
*CC(*)C1CC=CCC1,,,,,,,,,,418.0
*C1CCC1*,,,,,,,,,,200.0
*/C=C/CCCCC*,,,,,,,,,,51.0
*/C=C/C1CCC(*)C1,,,,,,,,,,31.0
*CC/C=C(/*)CCC,,,,,,,,,,42.0
*CC(*)c1ccccc1,,,,,,,,,,99.9
*CC(*)c1ccccc1C,,,,,,,,,,131.0
*CC(*)c1ccccc1F,,,,,,,,,,160.5
*CC(*)c1cccc(C)c1,,,,,,,,,,75.0
*CC(*)c1ccc(C)cc1,,,,,,,,,,103.0
*CC(*)c1ccc(C(C)(C)C)cc1,,,,,,,,,,138.0
*CC(*)c1ccc(Cl)cc1,,,,,,,,,,124.0
*CC(*)c1ccc(Br)cc1,,,,,,,,,,132.0
*CC(*)c1ccc(F)cc1,,,,,,,,,,95.0
*CC(*)c1ccc(OC)cc1,,,,,,,,,,108.4
*CC(*)c1c(C)cc(C)cc1C,,,,,,,,,,126.0
*CC(*)c1cc(C)c(C)cc1C,,,,,,,,,,104.0
*CC(*)(C)c1ccccc1,,,,,,,,,,168.0
*CC(*)c1cccc2ccccc12,,,,,,,,,,160.0
*CC(*)c1ccc(B(O[Si](C)(C)C)O[Si](C)(C)C)cc1,,,,,,,,,,84.0
*CC(*)c1ccc2ccccc2c1,,,,,,,,,,146.5
*CC(*)c1ccncc1,,,,,,,,,,150.0
*CC(*)c1ccc(C)nc1,,,,,,,,,,136.0
*CC(*)n1cc2ccccc2n1,,,,,,,,,,41.5
*CC(*)c1ccc(O)cc1,,,,,,,,,,158.0
*C([2H])([2H])C(*)([2H])c1c([2H])c([2H])c([2H])c([2H])c1[2H],,,,,,,,,,97.0
*CC(*)O,,,,,,,,,,76.5
*CC(*)OC(=O)CCCCCCCCCCC,,,,,,,,,,22.15
*CC(*)OC(=O)CCCCCCCCCCCCCCC,,,,,,,,,,43.0
*CC(*)C(C)=O,,,,,,,,,,115.0
*CC(*)(C)C(C)=O,,,,,,,,,,240.0
*CC(*)C#N,,,,,,,,,,95.0
*CC(*)(C)C#N,,,,,,,,,,88.5
*CC(*)c1ccccn1,,,,,,,,,,105.0
*CC(*)n1c2ccccc2c2ccccc21,,,,,,,,,,225.0
*CC(*)C[Si](C)(C)C,,,,,,,,,,114.0
*CC(*)OC,,,,,,,,,,-25.8
*CC(*)OCC,,,,,,,,,,-33.0
*CC(*)OCCCC,,,,,,,,,,-51.0
*CC(*)OCCCCC,,,,,,,,,,-66.0
*CC(*)OCCCCCC,,,,,,,,,,-74.0
*CC(*)OCCCCCCCCCC,,,,,,,,,,-62.0
*CC(*)OC(C)=O,,,,,,,,,,32.0
*CC(*)OC(=O)CC,,,,,,,,,,11.9
*CC(*)OC(=O)c1ccccc1,,,,,,,,,,70.4
*CC(*)OCC(C)C,,,,,,,,,,-22.0
*CC(*)CCCN(C(C)C)C(C)C,,,,,,,,,,130.0
*CC(*)CCCN(CC(C)C)CC(C)C,,,,,,,,,,112.0
*CC(*)O[N+](=O)[O-],,,,,,,,,,37.5
*C#C/C(COS(=O)(=O)c1ccc(C)cc1)=C(/*)COS(=O)(=O)c1ccc(C)cc1,,,,,,,,,,-73.0
*CC(*)CC[Si](C)(C)C,,,,,,,,,,132.0
*CC(*)OC=O,,,,,,,,,,37.0
*CC(*)OC(C)(C)C,,,,,,,,,,260.0
*CC(*)OC(C)C,,,,,,,,,,-7.5
*CC(*)(C)OC,,,,,,,,,,67.0
*CC(*)OCC(C)(C)C,,,,,,,,,,216.0
*CC(*)OC(C)CC,,,,,,,,,,-26.0
*CC(*)OC(=O)C(F)(F)F,,,,,,,,,,55.0
*CC(*)OCCCCCCCCCCCC,,,,,,,,,,30.0
*C1CC(*)(C#N)C1,,,,,,,,,,220.0
*CC(*)Cc1cccc(C)c1,,,,,,,,,,40.0
*CC(*)Cc1ccccc1C,,,,,,,,,,80.0
*CC(*)Cc1ccc(C)cc1,,,,,,,,,,65.0
*CC(*)OC(=O)c1ccc(C(C)(C)C)cc1,,,,,,,,,,121.0
*CC/C=C(/*)c1ccccc1,,,,,,,,,,39.5
*CC(*)OCC(CC)CCCC,,,,,,,,,,-66.0
*CC(*)SCCCC,,,,,,,,,,-20.0
*CC(*)SC,,,,,,,,,,-1.0
*CC(*)OCCCCCCCC,,,,,,,,,,-79.5
*CC(*)OCCC,,,,,,,,,,76.0
*CC(*)OC(=O)CCCC(=O)c1ccccc1,,,,,,,,,,45.0
*CC(*)OC(=O)C1CCCCC1,,,,,,,,,,66.0
*CC(*)OC(=O)c1ccc(CC)cc1,,,,,,,,,,57.0
*CC(*)OC(=O)c1ccncc1,,,,,,,,,,98.5
*CC(*)OC(=O)c1ccc(C(C)C)cc1,,,,,,,,,,67.7
*CC(*)OC(=O)c1ccc(C)cc1,,,,,,,,,,73.5
*CC(*)OC(=O)c1cccnc1,,,,,,,,,,86.5
*CC(*)OC(=O)CCCCCCC,,,,,,,,,,0.939
*CC(*)OC(=O)CCl,,,,,,,,,,20.45
*CC(*)[SiH2]CC,,,,,,,,,,0.98
*CC(*)OC(=O)CCCCCCCCC,,,,,,,,,,0.916
*CC(*)OC(=O)CCCCC,,,,,,,,,,6.3448
*C1Cc2ccccc2C1*,,,,,,,,,,188.5
*CCC/C=C(/*)c1ccc(OC)cc1,,,,,,,,,,11.0
*CCC/C=C(/*)c1ccccc1,,,,,,,,,,0.0
*CCC/C=C(/*)c1ccc(Cl)cc1,,,,,,,,,,16.0
*/C(C)=C(/*)[Si](C)(C)C,,,,,,,,,,75.0
*CC(*)n1ccnc1,,,,,,,,,,175.0
*CC(*)N1CCCC1=O,,,,,,,,,,158.0
*CC(*)C(=O)O,,,,,,,,,,115.0
*CC(*)C(=O)OC,,,,,,,,,,10.0
*CC(*)C(=O)OCC,,,,,,,,,,-20.0
*CC(*)C(=O)OC(C)C,,,,,,,,,,-5.0
*CC(*)C(=O)OCCCC,,,,,,,,,,-49.0
*CC(*)C(=O)OCC(C)C,,,,,,,,,,25.0
*CC(*)C(=O)OC(C)CC,,,,,,,,,,-20.0
*CC(*)C(=O)OC(C)(C)C,,,,,,,,,,40.0
*CC(*)C(=O)OCCCCCCCCCCCCCCCCCC,,,,,,,,,,-42.5
*CC(*)C(=O)OCCCCCCCCCCCCCCCCCCCCCC,,,,,,,,,,70.95
*CC(*)(C)C(=O)OC,,,,,,,,,,108.0
*CC(*)(C)C(=O)OCC,,,,,,,,,,66.0
*CC(*)(C)C(=O)OCCC,,,,,,,,,,43.0
*CC(*)(C)C(=O)OC(C)C,,,,,,,,,,85.0
*CC(*)(C)C(=O)OCCCC,,,,,,,,,,25.0
*CC(*)(C)C(=O)OC(C)CC,,,,,,,,,,60.0
*CC(*)(C)C(=O)OCC(C)C,,,,,,,,,,1.04885
*CC(*)(C)C(=O)OC(C)(C)C,,,,,,,,,,107.0
*CC(*)(C)C(=O)OCCCCCC,,,,,,,,,,-5.0
*CC(*)(C)C(=O)OCCCCCCCC,,,,,,,,,,-11.0
*CC(*)(C)C(=O)OCCCCCCCCCCCC,,,,,,,,,,-47.9
*CC(*)(C)C(=O)OCCCCCCCCCCCCCCCCCC,,,,,,,,,,-100.0
*CC(*)(C)C(=O)OC1CCCCC1,,,,,,,,,,88.0
*CC(*)(C)C(=O)Oc1ccccc1,,,,,,,,,,110.0
*CC(*)(C)C(=O)OCc1ccccc1,,,,,,,,,,54.0
*CC(*)(C)C(=O)OCCCl,,,,,,,,,,63.0
*CC(*)(C)C(=O)OCC(F)(F)F,,,,,,,,,,75.0
*CC(*)(C)C(=O)OCC(F)(F)C(F)F,,,,,,,,,,80.0
*CC(*)(C)C(=O)OC(C)C(F)(F)F,,,,,,,,,,1.34
*CC(*)(C)C(=O)OCc1ccccc1Cl,,,,,,,,,,54.1
*CC(*)(C)C(=O)OCCO,,,,,,,,,,91.2
*CC(*)(C)C(=O)OCCOCC,,,,,,,,,,-16.0
*CC(*)(Cl)C(=O)OC,,,,,,,,,,125.0
*CC(*)(Cl)C(=O)OCC,,,,,,,,,,84.0
*CC(*)(Cl)C(=O)OC(C)CC,,,,,,,,,,1.24
*CC(*)(Cl)C(=O)OC1CCCCC1,,,,,,,,,,1.25
*CC(*)C(N)=O,,,,,,,,,,193.0
*CC(*)C(=O)NC(C)C,,,,,,,,,,134.62
*CC(*)C(=O)N(CCCC)CCCC,,,,,,,,,,1.02
*CC(*)C(=O)OC1CCCCC1,,,,,,,,,,25.0
*CC(*)(C)C(=O)OCCCCCCCCCC,,,,,,,,,,-64.5
*CC(*)(Cl)C(=O)OCCC,,,,,,,,,,66.0
*CC(*)(Cl)C(=O)OCCCC,,,,,,,,,,42.0
*CC(*)C(=O)OC12CC3CC(C)(CC(C)(C3)C1)C2,,,,,,,,,,104.0
*CC(*)C(=O)N1CCCCC1,,,,,,,,,,108.0
*CC(*)C(=O)N1CCOCC1,,,,,,,,,,150.0
*CC(*)C(=O)Oc1ccc(-c2ccccc2)cc1,,,,,,,,,,110.0
*CC(*)(C)C(=O)OCCCCC,,,,,,,,,,10.0
*CC(*)(C)C(=O)OCCC(C)(C)C,,,,,,,,,,45.0
*CC(*)(C)C(=O)OC(C)C(C)(C)C,,,,,,,,,,108.0
*CC(*)(C)C(=O)OCCOC,,,,,,,,,,24.0
*CC(*)(C)C(=O)OCCOCCO,,,,,,,,,,20.0
*CC(*)(C)C(=O)OCC(C)O,,,,,,,,,,76.0
*CC(*)(C)C(=O)OCCC#N,,,,,,,,,,91.0
*CC(*)(C)C(=O)OCC[N+](=O)[O-],,,,,,,,,,4.7247
*CC(*)(C)C(=O)OCCO[N+](=O)[O-],,,,,,,,,,55.0
*CC(*)(C)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)F,,,,,,,,,,47.0
*CC(*)(C)C(=O)OC12CC3CC(C)(CC(C)(C3)C1)C2,,,,,,,,,,194.0
*CC(*)(CC(=O)OCC)C(=O)OCC,,,,,,,,,,65.5
*CC(*)(CC(=O)OCCCC)C(=O)OCCCC,,,,,,,,,,24.0
*CC(*)(Cl)C(=O)OC(C)C,,,,,,,,,,1.27
*CC(*)(CC(=O)OC1CCCCC1)C(=O)OC1CCCCC1,,,,,,,,,,142.0
*CC(*)(CC(=O)OCC1CCCCC1)C(=O)OCC1CCCCC1,,,,,,,,,,83.0
*CC(*)(CC(=O)OCCC1CCCCC1)C(=O)OCCC1CCCCC1,,,,,,,,,,48.0
*CC(*)(CC(=O)OCCCC1CCCCC1)C(=O)OCCCC1CCCCC1,,,,,,,,,,7.0
*CC(*)(CC(=O)Oc1ccccc1)C(=O)Oc1ccccc1,,,,,,,,,,132.0
*CC(*)(CC(=O)OCc1ccccc1)C(=O)OCc1ccccc1,,,,,,,,,,55.0
*CC(*)(CC(=O)OCCc1ccccc1)C(=O)OCCc1ccccc1,,,,,,,,,,45.0
*CC(*)(CC(=O)OCCCc1ccccc1)C(=O)OCCCc1ccccc1,,,,,,,,,,-8.0
*CC(*)C(=O)OCCC(C)OC,,,,,,,,,,-56.0
*CC(*)(CC(=O)OC)C(=O)OC,,,,,,,,,,95.0
*C(*)C(=O)OCC,,,,,,,,,,13.5
*C(*)C(=O)OC,,,,,,,,,,85.75
*C(*)C(=O)OCCC,,,,,,,,,,-15.0
*CC(*)(CC(=O)OCCC)C(=O)OCCC,,,,,,,,,,46.5
*CC(*)(CC(=O)Oc1ccccc1C)C(=O)Oc1ccccc1C,,,,,,,,,,1.135
*CC(*)(CC(=O)Oc1cccc(C)c1)C(=O)Oc1cccc(C)c1,,,,,,,,,,1.11
*CC(*)(CC(=O)Oc1ccc(C)cc1)C(=O)Oc1ccc(C)cc1,,,,,,,,,,1.07
*CC(*)C(=O)OCCO,,,,,,,,,,20.7
*CC(*)(C)C(=O)OCCOCCOCCO,,,,,,,,,,1.24
*CC(*)C(=O)O[Na],,,,,,,,,,114.4
*CC(*)(C)C(=O)OCC#C,,,,,,,,,,58.0
*CC(*)C(=O)OC1CCCCCCCCCCC1,,,,,,,,,,37.0
*CC(*)F,,,0.874,,,7.6332,3.36,,1.6305,41.0
*CC(*)Cl,,,,,,,,,,80.0
*CC(*)(F)F,,,1.1415,,,8.1531,3.37,,1.6122,-34.4
*CC(*)(Cl)Cl,,,,,,,,,,-16.5
*C(F)C(*)(F)F,,,1.524,,,8.5986,3.06,,1.5796,31.45
*C(*)(F)F,,,,,,,,,,120.0
*C(F)(F)C(*)(F)Cl,,,,,,,,,,52.1
*CC/C=C(/*)Cl,,,,,,,,,,-20.0
*C(F)(F)C(*)(F)C(F)(F)F,,,,,,,,,,158.5
*CC(*)Br,,,,,,,,,,117.0
*C(=C(F)F)C(*)(F)F,,,,,,,,,,126.0
*CCC(F)(F)C(*)(F)Cl,,,,,,,,,,241.0
*CCC(F)(F)C(*)(F)F,,,0.4489,,,9.0178,3.08,,1.5774,-108.0
*CC(*)(Br)Br,,,,,,,,,,5.2567
*CC(F)(F)CC(*)(C(F)(F)F)C(F)(F)F,,,,,,,,,,132.0
*CCCCCCCCC(Cl)C(*)Cl,,,,,,,,,,-30.0
*CCCCCCCCCCC(Cl)C(*)Cl,,,,,,,,,,-32.0
*CCCC(Cl)C(*)Cl,,,,,,,,,,42.0
*CCC(Cl)C(*)Cl,,,,,,,,,,70.0
*CC/C=C(/*)C,,,,,,,,,,-67.0
*/C=C/C(C)C*,,,,,,,,,,-35.0
*/C=C/C(C*)CC,,,,,,,,,,0.985
*CC(*)=C,,,,,,,,,,125.0
*CC(*)C=C,,,,,,,,,,-7.0
*CC(*)C=C(C)C,,,,,,,,,,166.0
*CC/C=C(/*)C(C)(C)C,,,,,,,,,,20.0
*CC/C(C)=C(/*)C,,,,,,,,,,4.0
*/C=C/C(C(=O)OC(C)C)C(*)C(=O)OC(C)C,,,,,,,,,,230.0
*CC(C)/C=C(/*)C,,,,,,,,,,2.3
*CO*,,,0.9897,,,7.5826,3.72,,1.6434,-71.0
*OC(*)C,,,,,,,,,,-19.5
*OC(*)C(Cl)(Cl)Cl,,,,,,,,,,2.012
*OC(*)CC,,,,,,,,,,185.0
*OC(*)CCC,,,,,,,,,,-41.0
*OC(*)CCC#N,,,,,,,,,,165.0
*CCO*,,,0.3936,,,7.0344,3.15,,1.6377,-56.0
*CC(C)O*,,,,,,,,,,-70.2
*CC(CCl)O*,,,,,,,,,,-23.3
*CC(O*)C(F)(F)F,,,0.7546,,,7.9431,2.7,,1.4843,119.0
*CC(CC)O*,,,,,,,,,,-71.5
*CC(COC)O*,,,,,,,,,,-62.0
*CC(C)(C)O*,,,,,,,,,,40.5
*CC(CCCC)O*,,,,,,,,,,-69.0
*CC(O*)C(C)(C)C,,,,,,,,,,41.0
*CC(COCC)O*,,,,,,,,,,-61.0
*CC(COCC=C)O*,,,,,,,,,,-75.5
*CC(COCCCC)O*,,,,,,,,,,-79.0
*CC(CCCCCC)O*,,,,,,,,,,-67.0
*CC(COCCCCCC)O*,,,,,,,,,,-85.5
*CC(O*)c1ccccc1,,,,,,,,,,34.0
*CC(COc1ccccc1)O*,,,,,,,,,,42.0
*CC(COc1ccccc1Cl)O*,,,,,,,,,,200.0
*OC(C)C(*)C,,,,,,,,,,105.0
*CCCO*,,,0.5672,,,6.904,3.03,,1.6476,-73.6
*CC(C)(C)CO*,,,,,,,,,,-50.0
*CC(CO)(CO)CO*,,,,,,,,,,99.0
*CC(CO*)(COCC)COCC,,,,,,,,,,79.0
*CC(CCl)(CCl)CO*,,,,,,,,,,6.5
*CCCCO*,,,,,,,,,,-80.0
*CCCCCCO*,,,,,,,,,,65.0
*CCCCCCCCO*,,,,,,,,,,-13.0
*CCCCCCCCCO*,,,,,,,,,,73.0
*CCCCCCCCCCO*,,,,,,,,,,79.0
*CCCCCCCCCCCCO*,,,,,,,,,,83.0
*Oc1ccc(*)cc1,,,,,,,,,,85.0
*Oc1c(C)cc(*)cc1C,,,,,,,,,,212.0
*Oc1c(-c2ccccc2)cc(*)cc1-c1ccccc1,,,,,,,,,,220.0
*OC1C(C)(C)C(*)C1(C)C,,,,,,,,,,285.0
*CCOCO*,,,,,,,,,,-64.0
*CCCCOCO*,,,,,,,,,,-84.0
*CCCCCOCO*,,,,,,6.9158,3.06,,1.6043,-80.0
*CCCCCCOCO*,,,,,,,,,,35.0
*CCOCCOC(=O)CCCCCCCCC(=O)O*,,,,,,,,,,-74.5
*C(=O)OCCOC(=O)c1ccc(*)o1,,,,,,,,,,88.95
*CCOCCOC(=O)c1cccc(C(=O)O*)c1,,,,,,,,,,16.0
*CCOC(=O)c1ccc(O*)cc1,,,,,,,,,,84.0
*CCOc1ccc(C(=O)OCCOC(=O)c2ccc(O*)cc2)cc1,,,,,,,,,,247.0
*CCCCOc1ccc(C(=O)OCCOC(=O)c2ccc(O*)cc2)cc1,,,,,,,,,,53.0
